code,target,sigprice,gentime,usertag
DCE.y.HOT,5,9174,20210908095000000,
DCE.cs.HOT,-4,2844,20210908095500000,
DCE.m.HOT,4,3514,20210908095500000,
DCE.cs.HOT,-5,2844,20210908100000000,
DCE.m.HOT,5,3512,20210908100000000,
DCE.cs.HOT,-4,2846,20210908101500000,
DCE.cs.HOT,-5,2840,20210908104000000,
DCE.m.HOT,4,3512,20210908104000000,
DCE.m.HOT,5,3511,20210908104500000,
DCE.m.HOT,4,3510,20210908105500000,
DCE.m.HOT,5,3507,20210908110000000,
DCE.c.HOT,4,2475,20210908111000000,
DCE.c.HOT,5,2477,20210908111500000,
DCE.y.HOT,4,9186,20210908111500000,
DCE.c.HOT,4,2476,20210908112000000,
DCE.y.HOT,5,9186,20210908112000000,
DCE.c.HOT,5,2476,20210908112500000,
DCE.m.HOT,4,3498,20210908112500000,
DCE.m.HOT,5,3504,20210908113000000,
DCE.c.HOT,4,2472,20210908134000000,
DCE.m.HOT,4,3505,20210908134000000,
DCE.y.HOT,4,9192,20210908134000000,
DCE.c.HOT,5,2470,20210908134500000,
DCE.m.HOT,5,3506,20210908134500000,
DCE.y.HOT,5,9186,20210908134500000,
DCE.c.HOT,4,2468,20210908135000000,
DCE.c.HOT,5,2467,20210908135500000,
DCE.cs.HOT,-4,2836,20210908135500000,
DCE.c.HOT,4,2463,20210908140500000,
DCE.cs.HOT,-5,2832,20210908140500000,
DCE.y.HOT,4,9176,20210908140500000,
DCE.c.HOT,5,2466,20210908141000000,
DCE.cs.HOT,-4,2833,20210908141000000,
DCE.y.HOT,5,9184,20210908141000000,
DCE.cs.HOT,-5,2829,20210908141500000,
DCE.c.HOT,4,2462,20210908143500000,
DCE.c.HOT,5,2462,20210908144500000,
DCE.m.HOT,4,3489,20210908144500000,
DCE.m.HOT,5,3489,20210908145000000,
DCE.cs.HOT,-4,2833,20210908145500000,
DCE.cs.HOT,-5,2830,20210908150000000,
DCE.m.HOT,4,3486,20210908150000000,
DCE.cs.HOT,-4,2826,20210908210500000,
DCE.m.HOT,5,3489,20210908210500000,
DCE.cs.HOT,-5,2829,20210908211000000,
DCE.m.HOT,4,3487,20210908211000000,
DCE.m.HOT,5,3490,20210908211500000,
DCE.c.HOT,4,2466,20210908213000000,
DCE.y.HOT,4,9214,20210908213000000,
DCE.c.HOT,5,2465,20210908213500000,
DCE.y.HOT,5,9186,20210908213500000,
DCE.m.HOT,4,3492,20210908214000000,
DCE.m.HOT,5,3485,20210908214500000,
DCE.cs.HOT,-4,2838,20210908220000000,
DCE.c.HOT,4,2467,20210908220500000,
DCE.cs.HOT,-5,2841,20210908220500000,
DCE.c.HOT,5,2466,20210908221000000,
DCE.c.HOT,4,2466,20210908221500000,
DCE.c.HOT,5,2467,20210908222000000,
DCE.m.HOT,4,3474,20210908223000000,
DCE.c.HOT,4,2467,20210908223500000,
DCE.c.HOT,5,2467,20210908224000000,
DCE.m.HOT,5,3476,20210908224000000,
DCE.cs.HOT,-4,2837,20210908224500000,
DCE.c.HOT,4,2468,20210908225000000,
DCE.cs.HOT,-5,2839,20210908225000000,
DCE.c.HOT,5,2466,20210908225500000,
DCE.y.HOT,4,9132,20210909091000000,
DCE.m.HOT,4,3472,20210909092000000,
DCE.y.HOT,5,9124,20210909092000000,
DCE.m.HOT,5,3468,20210909092500000,
DCE.y.HOT,4,9174,20210909100000000,
DCE.y.HOT,5,9156,20210909100500000,
DCE.c.HOT,4,2457,20210909101500000,
DCE.c.HOT,5,2457,20210909103500000,
DCE.m.HOT,4,3476,20210909103500000,
DCE.m.HOT,5,3483,20210909104500000,
DCE.m.HOT,4,3476,20210909105500000,
DCE.cs.HOT,-4,2838,20210909110000000,
DCE.m.HOT,5,3477,20210909110000000,
DCE.y.HOT,4,9132,20210909110000000,
DCE.cs.HOT,-5,2838,20210909110500000,
DCE.y.HOT,5,9136,20210909110500000,
DCE.y.HOT,4,9084,20210909113000000,
DCE.y.HOT,5,9126,20210909134000000,
DCE.cs.HOT,-4,2837,20210909134500000,
DCE.c.HOT,4,2456,20210909135000000,
DCE.cs.HOT,-5,2839,20210909135000000,
DCE.c.HOT,5,2455,20210909135500000,
DCE.c.HOT,4,2454,20210909140000000,
DCE.cs.HOT,-4,2836,20210909140000000,
DCE.y.HOT,4,9152,20210909140000000,
DCE.c.HOT,5,2454,20210909140500000,
DCE.y.HOT,5,9140,20210909140500000,
