code,target,sigprice,gentime,usertag
DCE.c.HOT,-3,2453,20210916091000000,
DCE.m.HOT,5,3545,20210916091000000,
DCE.c.HOT,-5,2451,20210916091500000,
DCE.c.HOT,5,2449,20210916095000000,
DCE.m.HOT,-5,3535,20210916100000000,
DCE.cs.HOT,4,2795,20210916100500000,
DCE.cs.HOT,1,2796,20210916101000000,
DCE.m.HOT,-3,3534,20210916101000000,
DCE.cs.HOT,5,2797,20210916101500000,
DCE.m.HOT,5,3536,20210916101500000,
DCE.y.HOT,-5,9110,20210916110500000,
DCE.y.HOT,-4,9098,20210916135000000,
DCE.y.HOT,5,9088,20210916135500000,
DCE.y.HOT,-5,9088,20210916140000000,
DCE.c.HOT,1,2440,20210916142500000,
DCE.c.HOT,5,2441,20210916143000000,
DCE.cs.HOT,-0,2808,20210916144500000,
DCE.cs.HOT,4,2810,20210916145000000,
DCE.cs.HOT,-4,2814,20210916145500000,
DCE.y.HOT,3,9104,20210916145500000,
DCE.c.HOT,-5,2437,20210916150000000,
DCE.cs.HOT,3,2819,20210916150000000,
DCE.y.HOT,5,9110,20210916150000000,
DCE.c.HOT,-4,2443,20210916210500000,
DCE.cs.HOT,2,2820,20210916210500000,
DCE.c.HOT,5,2444,20210916211000000,
DCE.cs.HOT,-5,2826,20210916211000000,
DCE.m.HOT,2,3566,20210916211000000,
DCE.cs.HOT,5,2827,20210916211500000,
DCE.m.HOT,3,3573,20210916211500000,
DCE.cs.HOT,2,2836,20210916212000000,
DCE.m.HOT,-5,3575,20210916212000000,
DCE.cs.HOT,-5,2829,20210916212500000,
DCE.cs.HOT,3,2830,20210916213500000,
DCE.cs.HOT,2,2828,20210916214500000,
DCE.cs.HOT,4,2826,20210916215000000,
DCE.cs.HOT,0,2829,20210916220000000,
DCE.cs.HOT,2,2827,20210916220500000,
DCE.cs.HOT,1,2828,20210916221000000,
DCE.cs.HOT,4,2828,20210916221500000,
DCE.cs.HOT,-4,2830,20210916222000000,
DCE.cs.HOT,0,2826,20210916223000000,
DCE.cs.HOT,4,2824,20210916223500000,
